Parameterkürzel,Kurzbeschreibung,Beschreibung,Einheit
bewd_i,Bewölkungsdichte zum Beobachtungstermin I,"Bewölkungsdichte zum Beobachtungstermin I (06 UTC) - Codeliste={0: gering, 1: mittel, 2: hoch, 9: keine Angabe}",code
bewd_i_flag,Qualitätsflag für Bewölkungsdichte zum Beobachtungstermin I,Qualitätsflag für Bewölkungsdichte zum Beobachtungstermin I (06 UTC),code
bewd_ii,Bewölkungsdichte zum Beobachtungstermin II,"Bewölkungsdichte zum Beobachtungstermin II (13 UTC) - Codeliste={0: gering, 1: mittel, 2: hoch, 9: keine Angabe}",code
bewd_ii_flag,Qualitätsflag für Bewölkungsdichte zum Beobachtungstermin II,Qualitätsflag für Bewölkungsdichte zum Beobachtungstermin II (13 UTC),code
bewd_iii,Bewölkungsdichte zum Beobachtungstermin III,"Bewölkungsdichte zum Beobachtungstermin III (18 UTC, vor 1971: 21 UHR MOZ) - Codeliste={0: gering, 1: mittel, 2: hoch, 9: keine Angabe}",code
bewd_iii_flag,Qualitätsflag für Bewölkungsdichte zum Beobachtungstermin III,"Qualitätsflag für Bewölkungsdichte zum Beobachtungstermin III (18 UTC, vor 1971: 21 UHR MOZ)",code
bewm_i,Bewölkungsmenge zum Beobachtungstermin I,"Bewölkungsmenge zum Beobachtungstermin I (06 UTC) - Codeliste={0: wolkenlos, 1: 1/10 bedeckt, 2: 2/10 bedeckt, 3: 3/10 bedeckt, 4: 4/10 bedeckt, 5: 5/10 bedeckt, 6: 6/10 bedeckt, 7: 7/10 bedeckt, 8: 8/10 bedeckt, 9: 9/10 bedeckt, 10: bedeckt, 99: keine Angabe}",1/10
bewm_i_flag,Qualitätsflag für Bewölkungsmenge zum Beobachtungstermin I,Qualitätsflag für Bewölkungsmenge zum Beobachtungstermin I (06 UTC),code
bewm_ii,Bewölkungsmenge zum Beobachtungstermin II,"Bewölkungsmenge zum Beobachtungstermin II (13 UTC) - Codeliste={0: wolkenlos, 1: 1/10 bedeckt, 2: 2/10 bedeckt, 3: 3/10 bedeckt, 4: 4/10 bedeckt, 5: 5/10 bedeckt, 6: 6/10 bedeckt, 7: 7/10 bedeckt, 8: 8/10 bedeckt, 9: 9/10 bedeckt, 10: bedeckt, 99: keine Angabe}",1/10
bewm_ii_flag,Qualitätsflag für Bewölkungsmenge zum Beobachtungstermin II,Qualitätsflag für Bewölkungsmenge zum Beobachtungstermin II (13 UTC),code
bewm_iii,Bewölkungsmenge zum Beobachtungstermin III,"Bewölkungsmenge zum Beobachtungstermin III (18 UTC, vor 1971: 21 UHR MOZ) - Codeliste={0: wolkenlos, 1: 1/10 bedeckt, 2: 2/10 bedeckt, 3: 3/10 bedeckt, 4: 4/10 bedeckt, 5: 5/10 bedeckt, 6: 6/10 bedeckt, 7: 7/10 bedeckt, 8: 8/10 bedeckt, 9: 9/10 bedeckt, 10: bedeckt, 99: keine Angabe}",1/10
bewm_iii_flag,Qualitätsflag für Bewölkungsmenge zum Beobachtungstermin III,"Qualitätsflag für Bewölkungsmenge zum Beobachtungstermin III (18 UTC, vor 1971: 21 UHR MOZ)",code
bewm_mittel,Bewölkungsmenge Mittelwert,"Bewölkungsmenge, Tagesmittelwert berechnet aus den Beobachtungsterminen I,II,III (06,13,18 UTC) * 10",1/100
bewm_mittel_flag,Qualitätsflag für Bewölkungsmenge Mittelwert,"Qualitätsflag für Bewölkungsmenge, Tagesmittelwert berechnet aus den Beobachtungsterminen I,II,III (06,13,18 UTC) * 10",code
bft6,Sturm Indikator,"Windstärke >= 6 Beaufort oder >= 60 km/h - Codeliste={0: nein, 1: ja}",bool
bft6_flag,Qualitätsflag für Sturm Indikator,Qualitätsflag für Windstärke >= 6 Beaufort oder >= 60 km/h,code
bft8,Schwerer Sturm Indikator,"Windstärke >= 8 Beaufort oder >= 80 km/h - Codeliste={0: nein, 1: ja}",bool
bft8_flag,Qualitätsflag für Schwerer Sturm Indikator,Qualitätsflag für Windstärke >= 8 Beaufort oder >= 80 km/h,code
cglo_j,Globalstrahlung,"Globalstrahlung, kalibrierte 24-Stundensumme aus den Stundenwerten 0-24 Uhr MOZ (23 Vortag - 23 Tag UTC)",J/cm²
cglo_j_flag,Qualitätsflag für Globalstrahlung,"Qualitätsflag für Globalstrahlung, kalibrierte 24-Stundensumme aus den Stundenwerten 0-24 Uhr MOZ (23 Vortag - 23 Tag UTC)",code
dampf_i,Dampfdruck zum Beobachtungstermin I,Dampfdruck zum Beobachtungstermin I (06 UTC),hPa
dampf_i_flag,Qualitätsflag für Dampfdruck zum Beobachtungstermin I,Qualitätsflag für Dampfdruck zum Beobachtungstermin I (06 UTC),code
dampf_ii,Dampfdruck zum Beobachtungstermin II,Dampfdruck zum Beobachtungstermin II (13 UTC),hPa
dampf_ii_flag,Qualitätsflag für Dampfdruck zum Beobachtungstermin II,Qualitätsflag für Dampfdruck zum Beobachtungstermin II (13 UTC),code
dampf_iii,Dampfdruck zum Beobachtungstermin III,"Dampfdruck zum Beobachtungstermin III (18 UTC, vor 1971: 21 UHR MOZ)",hPa
dampf_iii_flag,Qualitätsflag für Dampfdruck zum Beobachtungstermin III,"Qualitätsflag für Dampfdruck zum Beobachtungstermin III (18 UTC, vor 1971: 21 UHR MOZ)",code
dampf_mittel,Dampfdruck Mittelwert,"Dampfdruck, Tagesmittelwert berechnet aus den Beobachtungsterminen I,II,III (06,13,18 UTC)",hPa
dampf_mittel_flag,Qualitätsflag für Dampfdruck Mittelwert,"Qualitätsflag für Dampfdruck, Tagesmittelwert berechnet aus den Beobachtungsterminen I,II,III (06,13,18 UTC)",code
dd32_i,Windrichtung zum Beobachtungstermin I,"Windrichtung in 32 Sektoren, aus dem Stundenwert zum Beobachtungstermin I (06 UTC)", 
dd32_i_flag,Qualitätsflag für Windrichtung zum Beobachtungstermin I,"Qualitätsflag für Windrichtung in 32 Sektoren, aus dem Stundenwert zum Beobachtungstermin I (06 UTC)",code
dd32_ii,Windrichtung zum Beobachtungstermin II,"Windrichtung in 32 Sektoren, aus dem Stundenwert zum Beobachtungstermin II (13 UTC)", 
dd32_ii_flag,Qualitätsflag für Windrichtung zum Beobachtungstermin II,"Qualitätsflag für Windrichtung in 32 Sektoren, aus dem Stundenwert zum Beobachtungstermin II (13 UTC)",code
dd32_iii,Windrichtung zum Beobachtungstermin III,"Windrichtung in 32 Sektoren, aus dem Stundenwert zum Beobachtungstermin III (18 UTC, vor 1971: 21 UHR MOZ)", 
dd32_iii_flag,Qualitätsflag für Windrichtung zum Beobachtungstermin III,"Qualitätsflag für Windrichtung in 32 Sektoren, aus dem Stundenwert zum Beobachtungstermin III (18 UTC, vor 1971: 21 UHR MOZ)",code
