time,station,bewd_i,bewd_i_flag,bewd_ii,bewd_ii_flag,bewd_iii,bewd_iii_flag,bewm_i,bewm_i_flag,bewm_ii,bewm_ii_flag,bewm_iii,bewm_iii_flag,bewm_mittel,bewm_mittel_flag,bft6,bft6_flag,bft8,bft8_flag,cglo_j,cglo_j_flag,dampf_i,dampf_i_flag,dampf_ii,dampf_ii_flag,dampf_iii,dampf_iii_flag,dampf_mittel,dampf_mittel_flag,dd32_i,dd32_i_flag,dd32_ii,dd32_ii_flag,dd32_iii,dd32_iii_flag,erdb_i,erdb_i_flag,erdb_ii,erdb_ii_flag,erdb_iii,erdb_iii_flag,ffx,ffx_flag,gew,gew_flag,glatt,glatt_flag,nebel,nebel_flag,p_i,p_i_flag,p_ii,p_ii_flag,p_iii,p_iii_flag,p_mittel,p_mittel_flag,raureif,raureif_flag,reif,reif_flag,rfb_i,rfb_i_flag,rfb_ii,rfb_ii_flag,rfb_iii,rfb_iii_flag,rfb_mittel,rfb_mittel_flag,rf_i,rf_i_flag,rf_ii,rf_ii_flag,rf_iii,rf_iii_flag,rf_mittel,rf_mittel_flag,rr,rra_manu,rra_manu_flag,rra_manu_i,rra_manu_i_flag,rra_manu_iii,rra_manu_iii_flag,rr_flag,rr_i,rr_i_flag,rr_iii,rr_iii_flag,sh,sha_manu,sha_manu_flag,sh_flag,sh_manu,sh_manu_flag,shneu_manu,shneu_manu_flag,sicht_i,sicht_i_flag,sicht_ii,sicht_ii_flag,sicht_iii,sicht_iii_flag,so_h,so_h_flag,tau,tau_flag,tl_i,tl_i_flag,tl_ii,tl_ii_flag,tl_iii,tl_iii_flag,tlmax,tlmax_flag,tlmin,tlmin_flag,tl_mittel,tl_mittel_flag,tsmin,tsmin_flag,vvbft_i,vvbft_i_flag,vvbft_ii,vvbft_ii_flag,vvbft_iii,vvbft_iii_flag,vv_mittel,vv_mittel_flag,zeitx,zeitx_flag,substation
2016-01-01T00:00+00:00,8,2.0,20,1.0,20,2.0,20,10.0,20,6.0,20,10.0,20,87.0,20,0.0,,0.0,,303.0,20,4.1,20,4.4,20,3.9,20,4.1,20,0.0,20,16.0,20,0.0,20,3.0,20,1.0,20,3.0,20,3.2,20,0.0,,0.0,,0.0,,994.6,20,994.0,20,993.6,20,994.1,20,0.0,,0.0,,,,,,,,,,90,20,70,20,91,20,84,20,-1,0.0,20,0.0,20,0.0,20,20,-1,20,-1,20,,0.0,20,,-1.0,20,-1.0,20,2000.0,20,3500.0,20,2000.0,20,2.0,20,0.0,,-4.0,20,0.3,20,-4.7,20,0.4,20,-6.4,20,-3.0,20,,20,0.0,20,1.0,20,0.0,20,0.2,20,1502.0,20,19204
2016-01-01T00:00+00:00,66,2.0,20,,20,,20,9.0,20,0.0,20,0.0,20,30.0,20,0.0,,0.0,,280.0,20,4.4,20,3.8,20,2.5,20,3.6,20,16.0,20,20.0,20,20.0,20,6.0,20,6.0,20,6.0,20,4.3,20,0.0,,0.0,,1.0,,808.9,20,807.6,20,806.6,20,807.7,20,0.0,,0.0,,,,,,,,,,87,20,60,20,58,20,68,20,0.1,2.0,20,2.0,20,0.0,20,20,0.5,20,-1,20,,2.0,20,,1.0,20,1.0,20,500.0,20,5000.0,20,5000.0,20,2.5,20,0.0,,-2.5,20,0.4,20,-4.7,20,1.3,20,-4.8,20,-1.8,20,-5.4,20,1.0,20,1.0,20,1.0,20,1.0,20,1611.0,20,17301
2016-01-01T00:00+00:00,68,2.0,20,2.0,20,,20,10.0,20,9.0,20,0.0,20,63.0,20,0.0,,0.0,,225.0,20,5.2,20,5.0,20,4.1,20,4.8,20,24.0,20,28.0,20,32.0,20,9.0,20,9.0,20,9.0,20,7.6,20,0.0,,0.0,,0.0,,828.0,20,827.9,20,826.8,20,827.6,20,0.0,,0.0,,,,,,,,,,99,20,90,20,86,20,92,20,1.2,2.0,20,2.0,20,2.0,20,20,0.6,20,1.2,20,,3.0,20,,18.0,20,3.0,20,2000.0,20,4000.0,20,5000.0,20,0.0,20,0.0,,-2.0,20,-1.4,20,-3.3,20,-0.7,20,-3.3,20,-2.0,20,,20,3.0,20,2.0,20,1.0,20,2.6,20,706.0,20,15610
2016-01-01T00:00+00:00,93,2.0,20,2.0,20,2.0,20,10.0,20,10.0,20,10.0,20,100.0,20,0.0,,0.0,,216.0,20,4.4,20,5.7,20,5.8,20,5.3,20,20.0,20,20.0,20,20.0,20,5.0,20,0.0,20,0.0,20,9.5,20,0.0,,0.0,,0.0,,995.4,20,994.0,20,994.0,20,994.5,20,0.0,,0.0,,,,,,,,,,88,20,85,20,92,20,88,20,-1,0.0,20,2.0,20,0.0,20,20,0.5,20,-1,20,,1.0,20,,-1.0,20,-1.0,20,5000.0,20,5000.0,20,5000.0,20,0.3,20,0.0,,-2.7,20,1.4,20,0.5,20,1.7,20,-3.4,20,-0.9,20,-4.0,20,1.0,20,3.0,20,2.0,20,2.6,20,1417.0,20,5609
2016-01-01T00:00+00:00,27,,20,,20,,20,,20,,20,,20,,20,,,,,,20,5.6,20,6.8,20,6.1,20,6.2,20,20.0,20,28.0,20,16.0,20,,20,,20,,20,4.7,20,,,,,,,,20,,20,,20,,20,,,,,,,,,,,,,100,20,100,20,100,20,100,20,-1,,20,,20,,20,20,0.7,20,-1,20,,,20,,,20,,20,,20,,20,,20,0.0,20,,,-1.1,20,1.4,20,0.0,20,1.6,20,-1.8,20,-0.1,20,-1.5,20,1.0,20,2.0,20,1.0,20,1.5,20,1049.0,20,4802
2016-01-01T00:00+00:00,7,2.0,20,1.0,20,0.0,20,10.0,20,4.0,20,2.0,20,53.0,20,0.0,,0.0,,257.0,20,4.9,20,5.8,20,4.7,20,5.1,20,0.0,20,16.0,20,16.0,20,9.0,20,9.0,20,9.0,20,3.8,20,0.0,,,,0.0,,899.0,20,898.0,20,897.0,20,898.0,20,,,,,,,,,,,,,86,20,90,20,96,20,91,20,0.8,2.0,20,2.0,20,2.0,20,20,0.1,20,0.8,20,,3.0,20,,1.0,20,1.0,20,5000.0,20,10000.0,20,10000.0,20,1.0,20,,,-0.9,20,0.7,20,-2.9,20,1.2,20,-3.0,20,-0.9,20,-3.8,20,0.0,20,1.0,20,1.0,20,0.6,20,1608.0,20,15501
2016-01-01T00:00+00:00,18,0.0,20,0.0,20,0.0,20,10.0,20,10.0,20,10.0,20,100.0,20,0.0,,0.0,,183.0,20,4.1,20,5.0,20,5.2,20,4.8,20,4.0,20,24.0,20,16.0,20,3.0,20,3.0,20,3.0,20,5.7,20,0.0,,0.0,,0.0,,1007.9,20,1006.5,20,1006.3,20,1006.9,20,0.0,,0.0,,,,,,,,,,88,20,90,20,93,20,90,20,0.0,2.0,20,0.0,20,2.0,20,20,-1,20,0.0,20,,0.0,20,,-1.0,20,-1.0,20,5000.0,20,5000.0,20,5000.0,20,0.0,20,0.0,,-3.8,20,-1.3,20,-1.2,20,-1.1,20,-5.4,20,-3.3,20,-6.1,20,1.0,20,1.0,20,2.0,20,1.5,20,151.0,20,6102
2016-01-01T00:00+00:00,24,2.0,20,2.0,20,2.0,20,10.0,20,10.0,20,9.0,20,97.0,20,0.0,,0.0,,298.0,20,7.3,20,8.6,20,8.1,20,8.0,20,20.0,20,28.0,20,0.0,20,1.0,20,0.0,20,0.0,20,6.0,20,0.0,,0.0,,0.0,,975.3,20,972.0,20,969.8,20,972.4,20,0.0,,0.0,,,,,,,,,,98,20,92,20,92,20,94,20,-1,0.0,20,1.0,20,0.0,20,20,2.0,20,-1,20,,0.0,20,,-1.0,20,-1.0,20,2000.0,20,5000.0,20,10000.0,20,1.5,20,0.0,,2.8,20,6.0,20,5.1,20,7.0,20,1.5,20,4.3,20,1.4,20,1.0,20,1.0,20,0.0,20,0.6,20,2043.0,20,11115
2016-01-01T00:00+00:00,42,,20,,20,,20,,20,,20,,20,,20,,,,,445.0,20,6.4,20,7.4,20,6.8,20,6.9,20,0.0,20,16.0,20,24.0,20,,20,,20,,20,5.6,20,,,,,,,964.0,20,961.8,20,960.8,20,962.2,20,,,,,,,,,,,,,96,20,82,20,95,20,91,20,0.6,,20,,20,,20,20,1.9,20,0.6,20,,,20,,,20,,20,,20,,20,,20,4.3,20,,,1.2,20,5.4,20,2.1,20,6.7,20,0.9,20,3.8,20,0.1,20,0.0,20,1.0,20,1.0,20,0.6,20,1453.0,20,11901
2016-01-01T00:00+00:00,44,,20,,20,,20,,20,,20,,20,,20,,,,,335.0,20,4.2,20,6.2,20,5.1,20,5.2,20,12.0,20,24.0,20,24.0,20,,20,,20,,20,,20,,,,,,,937.0,20,936.4,20,936.5,20,936.6,20,,,,,,,,,,,,,86,20,69,20,88,20,81,20,0.0,,20,,20,,20,20,0.0,20,0.0,20,,,20,,,20,,20,,20,,20,,20,1.5,20,,,-3.1,20,5.4,20,-0.7,20,5.6,20,-4.7,20,0.5,20,-5.2,20,1.0,20,1.0,20,1.0,20,1.0,20,,20,13120
