Target,RMSE,MAE,Bias,Predictions
temperature_max_target_21,4.932562720695445,3.9726809015514375,0.596343058623473,[9.77898272 4.34256443 4.3416386  ... 3.02324259 3.01100387 5.71329878]
temperature_max_target_22,4.928593994608103,4.009762584379601,0.6137474904495632,"[10.3715963   5.35575866  2.93594453 ...  6.09255855  5.51888244
  8.7335823 ]"
temperature_max_target_23,4.976849266603448,4.043648885156223,0.6530896926583879,[9.73438568 5.08270977 2.46194086 ... 7.07555206 6.24212971 7.90171424]
temperature_max_target_24,4.952957450390483,4.003964239014213,0.6531683552652086,[8.60966386 5.3437581  2.78999184 ... 7.29579785 6.65726881 9.48646058]
temperature_max_target_25,5.014320693452118,4.045271279497205,0.6976305128323863,"[ 7.88958031  6.44230845  3.86599584 ...  6.30653395  5.81978534
 10.18708604]"
temperature_max_target_26,4.970837936571848,4.001114572343842,0.5730033919497205,[7.91895159 6.11615362 3.23934215 ... 3.66858966 4.8410611  7.59453955]
temperature_max_target_27,4.9647004670487425,3.975878080668529,0.5955131321539159,[9.43406182 8.43002735 5.62650291 ... 4.59487899 5.45865384 8.12009865]
temperature_max_target_28,4.896474986601065,3.922236917334315,0.6506025708204086,[9.59003513 9.98428079 7.71700406 ... 3.46743162 4.35278597 8.69206203]
temperature_max_target_29,4.8751041974637745,3.913572230933555,0.5742331118778973,"[10.73584931  8.42122283  6.72309513 ...  4.55633999  3.84179036
  8.49985429]"
temperature_max_target_30,4.964792458821899,4.0007449507102715,0.5698001432816164,"[13.12794969  7.89505742  6.39186196 ...  3.87675752  4.12079001
  8.12783265]"
temperature_max_target_31,5.0174725688884285,4.053104798043205,0.67456815867933,"[12.542274    7.09088025  3.86038061 ...  4.45650504  3.74661533
  6.26172114]"
temperature_max_target_32,5.064418581219249,4.113195690939512,0.7362652206520869,"[11.79794997  6.02849978  5.31968003 ...  2.93916739  2.53183652
  6.22625139]"
temperature_max_target_33,5.0716195259807915,4.123163122841925,0.6198375038680111,"[14.40958243  7.2188296   6.08403489 ...  1.7155767   2.25981051
  5.53400173]"
temperature_max_target_34,4.990914447887546,4.03742867967503,0.6021062515565504,"[12.85943374  6.92799842  5.77374326 ...  1.78742959  2.76835503
  5.56354587]"
temperature_max_target_35,4.952253386299209,4.0054623225255,0.534705848889495,"[13.96995331  8.20642345  6.84776311 ...  2.15783247  4.01678677
  5.83353292]"
