Target,RMSE,MAE,Bias,Predictions
temperature_max_target_21,5.315997623301599,4.184329402834219,0.31346560954243763,"[ 0.23557691 -1.78116777  0.05541407 ... 10.50324011 10.23963497
 14.05748058]"
temperature_max_target_22,5.318017167242368,4.1705416221251115,0.41711988695066204,"[ 4.12433983  0.62913868  0.93537741 ...  9.76222278  7.57238681
 12.60824313]"
temperature_max_target_23,5.329372100534093,4.190544075117885,0.5326918256895411,"[ 3.91146441  1.81331686  1.71275816 ...  9.65294833  8.29062474
 14.81563216]"
temperature_max_target_24,5.282798208088888,4.140107757509045,0.33202238851294485,"[ 3.90560816  1.32671701 -0.21254678 ...  8.25407525  5.6272916
 12.06734521]"
temperature_max_target_25,5.327293293379094,4.229740397057714,0.30221829944674816,"[ 5.13764498  1.32513125  0.57420028 ...  7.31419742  5.12477694
 11.60338711]"
temperature_max_target_26,5.324626038022455,4.227145742752795,0.25107176766709066,"[ 4.35294409  2.08767437  1.04474826 ...  6.70226026  4.57542517
 11.86051869]"
temperature_max_target_27,5.438052530294013,4.243025721280187,0.2764377653441731,[5.66333896 1.67201333 2.48074445 ... 4.76081816 2.88782399 9.30937542]
temperature_max_target_28,5.512361859169692,4.266532684661392,0.1144088660245772,[4.16220642 2.68085859 2.41707796 ... 4.43699744 3.80096971 9.36719288]
temperature_max_target_29,5.496466182775371,4.251175908278841,0.10463546081655761,[3.29241635 0.92966633 0.74858484 ... 2.80057987 2.52911478 8.03794048]
temperature_max_target_30,5.62954390460064,4.387466553230029,0.05921517259589372,"[ 3.57634776 -0.73794479 -2.01612325 ...  3.11659801  3.24103359
  6.25299032]"
temperature_max_target_31,5.600828625927285,4.352928607747274,-0.10811129732933618,"[ 4.02108235 -2.6290576  -3.70340776 ...  3.52654631  2.72291137
  5.28357312]"
temperature_max_target_32,5.506016611450013,4.281387347446561,0.0013132436486460665,"[ 1.84389969 -3.62247565 -4.33493434 ...  4.15153083  2.66579489
  7.7695822 ]"
temperature_max_target_33,5.50777860474057,4.313693914622723,0.02347776939708141,"[ 2.16039551 -2.91813525 -3.66631187 ...  5.47784291  6.7346892
  9.96938758]"
temperature_max_target_34,5.459609075284168,4.315296634493062,0.12327387226205933,"[-0.11178104 -2.14557563 -3.40342274 ...  5.70086782  9.04512956
  9.85353336]"
temperature_max_target_35,5.542981689545259,4.3550868498951285,0.09742630816377082,"[ 2.2004995  -0.82747966 -3.999676   ...  6.12442979  6.00656689
  9.95251537]"
temperature_min_target_21,3.7945962607074324,2.9652052973251797,0.20258410771745589,"[ -9.09751073 -10.88208389 -10.36947068 ...   3.89157073   2.40942823
   6.61343803]"
temperature_min_target_22,3.774705575912023,2.928510951695018,0.24697482678789814,"[-4.99719682 -9.19191916 -7.27588269 ...  3.9779733   2.11516555
  6.14249272]"
temperature_min_target_23,3.7923251932563877,2.9397413579753375,0.46923614001136754,"[-3.71088394 -8.53125239 -7.18098507 ...  3.50790889  0.89921944
  6.30391314]"
temperature_min_target_24,3.7096870362294796,2.8761820043559516,0.5168215608661837,"[-3.57004112 -8.21724591 -6.90535147 ...  3.74840347  0.11207662
  5.47942484]"
